b1	b10	b11	b12	b13	b14	b15	b16	b17	b2	b4	b6	b7	b8	b9	a1	a10	a11	a12	a13	a14	a15	a16	a17	a2	a4	a6	a7	a8	a9	c1	c10	c11	c12	c13	c14	c15	c16	c17	c2	c4	c6	c7	c8	c9
89954	113000	3690	892000	39900	5470	13100	5750	61900	4010	88400	32100	31200	7340	25500	22900	21300	33500	152000	78400	96900	4710	25200	14500	17100	56800	29100	7930	25000	13300	8660	52500	8650	92500	137000	17600	84400	47300	27000	14300	99000	10200	119000	58700	13200
10400039	3400000	2170000	7170000	7950000	2800000	3460000	7460000	455000	7100000	1980000	2520000	864000	4190000	18000000	971000	1050000	490000	6670000	4540000	2410000	693000	1920000	2120000	1090000	3420000	2700000	973000	15900000	2140000	292000	1160000	5690000	5930000	3460000	3170000	4040000	2970000	6340000	322000	2290000	2280000	2090000	483000	1250000
9548691	46400	54600	563000	139000	73600	65700	108000	45300	22200	66300	221000	13500	32600	18200	21500	2130	7650	673000	190000	20300	8960	41200	14400	4010	803000	50200	14500	102000	154000	23400	2750	43900	113000	174000	72500	23400	169000	35700	12300	67200	4400	30300	97200	85000
3050259	1.10e+07	9.01e+06	1.04e+08	7.70e+07	3.77e+07	2.14e+07	7.82e+06	3.21e+06	2.25e+06	1.27e+07	9.28e+06	3.26e+06	2.89e+06	4.65e+07	2.73e+06	2.01e+07	4.63e+06	5.36e+06	1.14e+07	2.17e+07	1.45e+06	4.13e+06	1.69e+06	2.11e+06	3.76e+06	2.64e+07	2.88e+06	4.09e+06	2.26e+07	5.12e+05	8.89e+06	5.10e+06	8.03e+06	8.89e+06	2.30e+07	3.91e+07	1.19e+07	1.89e+07	6.98e+06	2.36e+06	3.93e+06	5.10e+07	1.40e+06	4.76e+06
5280366	2870000	4180000	6670000	5660000	2230000	1270000	5230000	748000	778000	2440000	6030000	1810000	1330000	2070000	487000	629000	2140000	8230000	21700000	2080000	703000	2480000	1220000	730000	6530000	1960000	1500000	1100000	1170000	476000	1520000	3460000	4600000	6710000	1820000	721000	4950000	1110000	712000	3620000	1360000	4100000	761000	1610000
68257	10600000	41300000	18200000	15300000	9600000	2710000	41800000	18700000	5240000	40100000	18300000	9100000	6010000	14600000	5320000	6480000	17900000	9680000	26300000	11000000	996000	5730000	7900000	7440000	51100000	3450000	22500000	27900000	12600000	1880000	16600000	19800000	8200000	27200000	10500000	11600000	14800000	32400000	8690000	33000000	3620000	46200000	8450000	6210000
5280533	6130000	4110000	7750000	8290000	4310000	5900000	2290000	1930000	611000	8350000	11700000	3080000	979000	5920000	609000	1250000	1710000	5770000	18100000	3770000	777000	4100000	616000	701000	4340000	8730000	2970000	2160000	6040000	587000	2300000	3280000	9130000	11600000	4280000	3950000	13500000	1870000	1060000	8600000	6130000	6500000	2150000	1650000
5280500	56100	177000	1100000	181000	14500	38500	13300	2670	127000	156000	358000	14700	4580	1330000	44200	113000	2020	66100	62100	481000	14600	22100	2790	9100	391000	83500	849000	23200	24300	28700	7640	10400	168000	206000	58800	1190000	91600	21400	48900	109000	34200	116000	2860	38700
440898	78400	2360	709000	7970	17300	4960	70400	0	4550	16800	8460	2670	64900	6760	0	6440	0	129000	53000	3230	0	5680	0	0	33200	22900	0	19700	80200	0	2550	0	222000	20500	10900	0	8570	0	22600	53500	0	95200	287000	116000
7207	69800	407000	1790000	1670000	228000	46300	63500	116000	59500	84400	1650000	174000	309000	83600	55500	17000	105000	469000	564000	55900	47000	1070000	58700	23900	85300	514000	161000	203000	466000	64100	181000	32300	1170000	1130000	1320000	59600	204000	408000	68500	721000	1740000	625000	150000	166000
